words,POS
کاپيټاليسټ,Noun
کاپيسا,Noun
کاپيورې,Noun
کاپيوره,Noun
کاتب,Noun
کاتبي,Noun
کاته,Noun
کاتوليک,Noun
کاج,Noun
کاجر,Adjective
کاچوغه,Noun
کاخت,Adjective
کاختي,Noun
کاذب,Adjective
ښکار,Noun
کاټېرۍ,Noun
کار,Noun
کارډ,Noun
کارګاه,Noun
کاربن,Noun
کاربنديز,Noun
کاربون,Noun
کاربون ډای اوکسايډ,Noun
کاربون پېپر,Noun
کارت,Noun
کارتوګرافي,Noun
کارتوس,Noun
کارخانه,Noun
کارګر,Noun
کارګري,Adjective
کارېز,Noun
کارشکني,Noun
ښکارغلی,Noun
کارغه,Noun
کارفرما,Noun
کارک,Noun
ښکارل,Verb
کارټن,Noun
کارنامه,Noun
ښکارندوی,Adjective
ښکاره,Adjective
کټاره,Noun
کارګه,Noun
کارګه ټکۍ,Noun
ښکاره کول,Verb
څک اروا,Adjective
کاروان,Noun
کاروانسرای,Noun
کاروبار,Noun
ښکارول,Verb
کارول,Verb
کارونه,Noun
ښکاري,Adjective
کاري,Adjective
کاريال,Noun
کاريګر,Noun
کاريکاتور,Noun
کاز,Noun
کازموګرافي,Noun
کاسب,Noun
کاسه,Noun
کاسيره,Adjective
کاشف,Noun
کاشي,Adjective
کاشي کاري,Noun
کاشين,Noun
کاغۍ,Noun
کاغذ,Noun
کاغذباد,Noun
کاغذدانۍ,Noun
کاغذ مې په کار دى,Sentence
کاغذي,Adjective
کاف,Noun
کافر,Noun
کافور,Noun
کافي,Adjective
کافي,Noun
کاک,Noun
کاکړ,Noun
کاکا,Noun
څکالی,Noun
کاګل,Noun
کال,Noun
کالبوت,Noun
څکالکی,Noun
کالکه,Noun
کاګل کول,Verb
کالنۍ,Adjective
کالنۍ,Noun
کالوري,Noun
کاګلول,Verb
کالي,Noun
کاليزه,Noun
کام,Noun
کامچه,Noun
کامره,Noun
کامل,Adjective
کام ناکام,Adverb
کامياب,Adjective
کاميابېدل,Verb
کاميابول,Verb
کاميابي,Noun
کان,Noun
کانګې,Noun
کاناډا,Noun
کانال,Noun
کانتين,Noun
کانديد,Noun
کانديدېدل,Verb
کانديدول,Verb
کانسرټ,Noun
کانسروه,Noun
کانسونېنټ,Noun
کانکرېټ,Noun
کانکور,Noun
ټکټانه,Noun
ټکانه,Noun
کانګه,Noun
کانه,Noun
کاني,Adjective
کاڼه,Noun
کاهو,Noun
کړاو,Noun
کاونډيتوب,Noun
کړاوه,Noun
څکاوو,Noun
کاوو,Noun
کايښت,Noun
کښې ايستل,Verb
کاينات,Noun
کاړي واړي,Adjective
کړايي,Noun
کب,Noun
کباب,Noun
کبابېدل,Verb
کبابول,Verb
کبابي,Noun
کبان,Noun
کبر,Noun
کبرجن,Adjective
کبرکن,Noun
کېبل,Noun
کبل,Noun
کبلی,Noun
کب ( ماهى ) خوړونكى ( مرغه ),Noun
کب نيول,Verb
کډبه,Noun
کټبون,Noun
کبوړئ,Noun
کړپ,Noun
کړپی,Noun
کپ,Noun
کپۍ,Noun
کپېړ,Noun
کړپا,Noun
کړپېدل,Verb
کپرۍ,Noun
کپرک,Noun
کپس,Noun
کپسول,Noun
کپن,Noun
کړپندوکی,Noun
کپن کښ,Noun
کپړه,Noun
کپه,Noun
کړپهار,Noun
کړپول,Verb
ټکټ پولي,Noun
کړت,Noun
کښتۍ,Noun
کت,Noun
کتاب,Noun
کتابت,Noun
کتابتون,Noun
کتابچه,Noun
کتابخانه,Noun
کتاب خرڅوونکی,Noun
کتابدار,Noun
کتابداري,Noun
کتابفروشي,Noun
کتابي,Adjective
کتار,Noun
کتان,Noun
کتاني,Adjective
کتېدل,Verb
کښتګر,Noun
کتره,Noun
کتغ,Noun
کتل,Verb
کتلاک,Noun
کتلمه,Noun
کتله,Noun
کړتن,Adjective
کښتنی,Adjective
کتنځی,Noun
کتنه,Noun
کښته,Adverb
کته,Adverb
کړته,Noun
کته,Noun
کتول,Verb
کڼتيا,Noun
کتيبه,Noun
کښتيوان,Noun
کثافت,Noun
کثرت,Noun
کثيرالاضلاع,Noun
کثيف,Adjective
کېج,Adjective
کجاوه,Noun
کجک,Noun
کجل,Noun
کجور,Noun
کجوره,Noun
کجير,Noun
کړچ,Noun
کړچی,Noun
کچ,Noun
کچالان,Noun
کچالو,Noun
کړچېدل,Verb
کچر,Adjective
کچر,Noun
کچره,Noun
کچکول,Noun
کچل,Adjective
کچنۍ,Noun
کچه,Adjective
کچه,Noun
کړچهار,Noun
کچول,Noun
کړچول,Verb
کچول,Verb
کچوله,Noun
کحار,Noun
کښېدی,Noun
کېدې شي,Adverb
څکېدل,Verb
کړېدل,Verb
کېدل,Verb
کدو,Noun
کرۍ,Adjective
ټکر,Noun
کر,Noun
کرښ,Noun
کرښی,Noun
کراړ,Adjective
کراړ,Noun
کراچي,Noun
کرار,Adjective
کراره,Adjective
کرارول,Verb
کراري,Noun
کراسته,Adjective
کرامت,Noun
کراړه,Noun
کراهت,Noun
کرايه,Noun
کرايه کښ,Noun
کرايي,Adjective
کرباس,Noun
کربوړی,Noun
کرپ,Noun
کرپی,Noun
کرپا,Noun
کرپند,Adjective
کرپندوکی,Noun
کرپول,Verb
کرتۍ,Noun
کرچ,Noun
کرچی,Noun
کرچهار,Noun
کرچول,Verb
کرد,Noun
کردار,Noun
کرګدن,Noun
کردوړی,Noun
کردي,Adjective
کرېز,Noun
کرګس,Noun
کرېشمه,Noun
کرشنيل,Noun
کرغښی,Noun
کرغشی,Adjective
کرغېړن,Adjective
کرغېړنول,Verb
کرغېړنيدل,Verb
کرغه,Noun
کرففل کول,Verb
کرکۍ,Noun
کرکجن,Adjective
کرکره,Noun
کرکس,Noun
کرکنکه,Noun
کرکنډه,Noun
کرکه,Noun
کرکه کول,Verb
کرل,Noun
کرل,Verb
کرل کول,Verb
کرم,Noun
کرمچ,Noun
کرميچ,Noun
کرنډ,Adjective
کرنګ,Noun
کرنکه,Noun
کرنه,Noun
کرنيل,Noun
کرښه,Noun
کره,Noun
کرهار,Noun
کره کتنه,Noun
کرهني,Adverb
کرهڼه,Noun
کرهه,Noun
کروړ,Adjective
کروی,Noun
ښکرور,Adjective
کروکي,Noun
کرون,Noun
کروندګر,Noun
کرونده,Noun
کروېږه,Adjective
کروړه,Noun
کروه,Noun
کريډټ,Noun
کرياب,Adjective
کريابېدل,Verb
کريابول,Verb
کريابي,Noun
کريچ,Noun
کريديت کارت قبلوئ,Sentence
کريکه,Noun
کرښيل,Noun
کريم,Noun
کريمينولوجي,Noun
کريږه,Noun
کړېزن,Adjective
کېزه,Noun
ټېکس,Noun
ټکس,Noun
کړس,Noun
کسی,Noun
کسات,Noun
کسات اخيستل,Verb
کسب,Noun
کسبګر,Noun
کسبول,Verb
کسبي,Adjective
کسر,Noun
کسره,Noun
کسري,Adjective
کسکر,Noun
کړسند,Adjective
ټکسي,Noun
کېش,Noun
کش,Noun
کشی,Noun
کشاف,Noun
کشاله,Noun
کشپ,Noun
کشت,Noun
کشېدل,Verb
کشر,Adjective
کشری,Adjective
کشف,Noun
کشفول,Verb
کشکې,Adverb
کشکارل,Verb
کشکره,Noun
کشمالی,Noun
کشمالو,Noun
کشمش,Noun
کشميره,Noun
کشو,Noun
کشړوپ,Adjective
کشول,Verb
کعبه,Noun
کغ,Noun
کفاره,Noun
کفالت,Noun
کفايت,Noun
کفر,Noun
کفشناسى,Noun
کفن,Noun
کفيل,Noun
کړک,Adjective
کړکی,Adjective
ککړ,Adjective
کټ کټ,Adverb
ټک ټک,Noun
کړک,Noun
کړکی,Noun
کک,Noun
ککړتيا,Noun
کړکېچ,Adverb
کړکېچ,Noun
کړکېچن,Adjective
ککړېدل,Verb
کښکر,Adjective
کښکری,Noun
ککرۍ,Noun
ککره,Noun
کښکېلۍ,Noun
کښېکښل,Verb
کړکه,Adjective
ټککه,Noun
ککوی,Noun
ککوړی,Noun
ککړول,Verb
کړکيچ,Noun
ښکېل,Adjective
ښکلی,Adjective
کلی,Noun
کلګی,Noun
څکېړل,Verb
څکل,Verb
کړل,Verb
ښکلا,Noun
کلا,Noun
کلابند,Adjective
کلابندي,Noun
کلاسيسيزم,Noun
کلاسيک,Adjective
ښکېلاک,Noun
ښکېلاکول,Verb
کلال,Noun
کلالي,Noun
کلام,Noun
کلانکاره,Adjective
کلانکاري,Noun
کلاوه,Noun
کلب,Noun
کلپ,Adjective
کلپ,Noun
کلپېدل,Verb
څکل پکل,Noun
کلپول,Verb
کلپي,Noun
کلتور,Noun
کلتوري,Adjective
کږلېچ,Noun
کږلېچی,Noun
کلچ,Noun
کلچې,Noun
کلچر,Noun
کلچه,Noun
کلخوز,Noun
کلداره,Noun
کلسيم,Noun
کلک,Adjective
څکلکی,Noun
کلک اعتراض,Noun
کلکېدل,Verb
کلکسيون,Noun
کلکوالی,Noun
کلکول,Verb
کلکين,Noun
ښکېللی,Adjective
ښکلل,Verb
کلم,Noun
کلمه,Noun
کلنی,Adjective
کلنګي,Adjective
څښکله,Adverb
کله,Adverb
کېله,Noun
کله,Noun
کله پز,Noun
کله کله,Adverb
کلوښته,Noun
کلوچ,Adjective
کلورين,Noun
ښکلول,Verb
کلول,Verb
کلونه,Noun
کلي,Adjective
کلي,Noun
کليات,Noun
کليزه,Noun
کليسا,Noun
کليشه,Noun
کلينک,Noun
کليه,Noun
کليوال,Noun
کړم,Adjective
کم,Adjective
کټ مټ,Adverb
کم,Adverb
کړم,Noun
کړمڅی,Noun
کم اصل,Adjective
کمال,Noun
کمالداره,Adjective
کمانۍ,Noun
کمانډر,Noun
کمايي,Noun
کم بخته,Adjective
کمبختي,Adjective
کمبره,Adjective
کمبله,Noun
کمبوت,Noun
کمبود,Noun
کمبوديا,Noun
کمپ,Noun
کمپراډور,Noun
کمپنۍ,Noun
کمپوډر,Noun
کمپوز,Noun
کمچه,Noun
کم خرڅه,Adjective
کم خوني,Noun
کمېدل,Verb
کمر,Noun
کمربند,Noun
کمرنګه,Adjective
کمره,Noun
کمزوری,Adjective
کمزورتيا,Noun
کمزوره,Adjective
کمزوري,Noun
کړمېزي,Noun
کمېشن,Noun
کمېشن کار,Noun
کمکی,Adjective
کمک,Noun
کمکينه,Noun
کټمل,Noun
کړمن,Adjective
کمند,Noun
کړمنېزن,Adjective
کموالی,Noun
کمول,Verb
کمون,Noun
کمونيزم,Noun
کمونيست,Noun
کمونيستي,Adjective
کمي,Adjective
کمېږي,Verb
کېميا,Noun
کېمياپوه,Noun
کېمياوي,Adjective
کميت,Noun
کميدي,Noun
کټميره,Noun
کميس,Noun
کميسار,Noun
کميسيون,Noun
کميک,Adjective
کمين کول,Verb
کميټه,Noun
کډن,Adjective
کړنګ,Adjective
ټکنی,Noun
کړنګ,Noun
کړنګی,Noun
کنړ,Noun
ښکنځا,Noun
کنځا,Noun
کناټی,Noun
کنډاس,Noun
کنګال,Adjective
کنډال,Noun
کنګالول,Verb
کناوېز,Noun
کنايه,Noun
کنترول,Noun
کنترولر,Noun
کنترولول,Verb
کنج,Noun
کنجاره,Noun
کنجاړه,Noun
کنجتې,Noun
کنجرۍ,Noun
کنجوس,Adjective
کنجوغه,Noun
کړند,Adjective
کښندی,Noun
کند,Noun
کړنګېدل,Verb
ځکندن,Noun
ټکنده,Adjective
کړنده,Noun
کندهار,Noun
کندهاری,Noun
کندو,Noun
کنډر,Noun
کنګره,Noun
کنټرول,Noun
کنټرولول,Verb
کنري,Noun
کښېنستل,Verb
کنسرټ,Noun
کنسرو,Noun
کنسکی,Adjective
کنفدراسيون,Noun
کنفرانس,Noun
کنډک,Noun
کنډکمشر,Noun
کنګل,Noun
ښکنځل,Verb
کنځل,Verb
کړنلاره,Noun
کنګلېدل,Verb
کنځله,Noun
کږنه,Noun
کړنګهار,Noun
کینو,Noun
کنډو,Noun
کنډواله,Noun
کنډوالي,Noun
کنوانسيون,Noun
کنډول,Adjective
کنډول,Noun
کنډولی,Noun
کښېنول,Verb
کړنګول,Verb
کِنوه,Noun
کنډوول,Verb
کني کبر,Noun
کنيه,Noun
ځکه,Adverb
که,Adverb
ټېکه,Noun
ټکه,Noun
کېړه,Noun
کڅه,Noun
کهۍ,Noun
ټکهار,Noun
کټهار,Noun
کهار,Noun
کهاله,Adjective
کهالي,Noun
کهښت,Noun
کهتري,Noun
که چیری,Interjection
ټېکه دار,Noun
کهربا,Noun
کډهل,Noun
کڼه ورغه,Noun
کهول,Noun
کړه وړه,Noun
کهڅوړه,Noun
کوږ,Adjective
څښکو,Noun
کټو,Noun
کوټ,Noun
کوټی,Noun
کوګۍ,Verb
کواټ,Noun
کوارچه,Noun
کواره,Noun
کوړاغ,Noun
کډوال,Noun
کږوالی,Noun
کواټه,Adjective
کوايت,Noun
کوبۍ,Noun
کوبالټ,Noun
کوټبند,Noun
کړوپ,Adjective
کوپ,Noun
کوپړۍ,Noun
کړوپېدل,Verb
کوپراتيف,Noun
کوپړه,Noun
کوپه,Noun
کړوپوالی,Noun
کړوپول,Verb
کوپون,Noun
کوت,Adjective
کوت,Noun
کوتی,Noun
کوتان,Noun
کوتری,Noun
کوتره,Noun
کوتک,Noun
کوتل,Noun
کښېوتل,Verb
کوتل,Verb
کوتنه,Noun
کوڼتوب,Noun
کوجرکي,Noun
کوچ,Noun
کوچی,Noun
کوچېدل,Verb
کوچلانه,Noun
کوچنی,Adjective
کوچنوټی,Adjective
کوچني خانه کي,Adjective
کوچنيوالی,Noun
کوچنيواله,Noun
کوچه,Noun
کوچه مار,Noun
کوچي,Adjective
کوچي,Noun
کوچيانی,Adjective
کوخکه,Noun
کوډخه,Noun
کود,Noun
کودی,Noun
کودتا,Noun
کودری,Noun
کوړېدل,Verb
کوېدن,Noun
کوده,Noun
کورې,Adverb
ټکور,Noun
کټوری,Noun
کوډګر,Noun
کور,Noun
کوری,Noun
کورګی,Noun
کوګۍ راکه,Sentence
کوګۍ راکول,Verb
کوربہ,Noun
کوربچه,Noun
کوربل,Noun
کوربنہ,Noun
کوربنه,Noun
کوربه,Noun
کورپه,Noun
کورت,Noun
کورتۍ,Noun
کورتوبه,Noun
کورد,Noun
کورداري,Noun
کورديپلوماتيک,Noun
کورېز,Noun
کورس,Noun
کورغ,Adjective
کوټرکی,Noun
کورکی,Noun
کورکمن,Noun
کورمانه,Noun
کورمک,Adjective
کورمن,Noun
کورمه,Noun
کورنی,Adjective
کورنۍ,Noun
کورنځۍ,Noun
کورنی ژوند,Noun
کوره,Adjective
کوره,Noun
کوره کول,Verb
کوروالا,Adjective
کوروالا,Noun
کورودانی,Noun
کور ودان,Sentence
ټکورول,Verb
کوريا,Noun
کوز,Adjective
کوزړۍ,Noun
کوزېدل,Verb
کوزده,Noun
کوزه,Noun
کوزول,Verb
کوزياڼه,Noun
کوژدن,Noun
کوژده,Noun
کړوسی,Noun
کوس,Noun
کوسی,Noun
کوس چک,Noun
کوسچوپنه,Noun
کوسه,Adjective
کوشان,Adjective
کوشېر,Noun
کوشېرېدل,Verb
کوشېرول,Verb
کوشش,Noun
کڅوک,Noun
کوڅک,Noun
کوک,Noun
کوکۍ,Noun
کوکاره,Noun
کوکری,Noun
کوړکه,Noun
کوکه,Noun
کوکه کولا,Noun
کوړۍ کوړۍ,Adjective
کوکو,Adjective
کوړکوړ,Noun
کوکو,Noun
کوکول,Verb
کوکي,Noun
کول,Adverb
کوګل,Noun
کول,Noun
کولۍ,Noun
ګېډۍ کول,Verb
ټکول,Verb
کټول,Verb
کوټل,Verb
کول,Verb
کولپ,Noun
کولپېدل,Verb
کولپک,Noun
کولپول,Verb
کولچه,Noun
کولرا,Noun
کولک,Noun
کولکټيو,Noun
کولمبيا,Noun
کولمه,Noun
کولنډی,Noun
کوډله,Noun
کوله,Noun
کولى,Adverb
کوړم,Noun
کومی,Noun
کوم,ProNoun
کوما,Noun
کړومبې,Noun
کومبړ,Noun
کومک,Noun
کومکي,Adjective
کوړمن,Adjective
کوړمه,Noun
کومه,Noun
کومه,ProNoun
کومول,Noun
کومي,ProNoun
کوميک,Adjective
کوړنګ,Adjective
کونډی,Adjective
کونډ,Noun
کوناټی,Noun
څکونډاره,Noun
کونډاله,Noun
کونډتوب,Noun
کونډتون,Noun
کوړنج,Noun
کونج,Noun
کونجۍ,Noun
کونجاړه,Noun
کوړنچی,Noun
کوړنچېدل,Verb
کوړنچول,Verb
کونداغ,Noun
کونډېدل,Verb
کونده,Noun
کونګری,Noun
کونسټ,Noun
کونسترګی,Noun
کونسل,Noun
کونسټه,Noun
کونک,Noun
کونځلې,Noun
څکونډل,Verb
کونډه,Noun
کونه,Noun
کوني,Noun
کوني کبر,Noun
کوټه,Adjective
کوه,Adverb
کڅوړه,Noun
کټوه,Noun
کوټه,Noun
کوهی,Noun
کڅوړه اخيستى شم,Sentence
کڅوړه را نه ورکه شوه,Sentence
کوڅه ګرد,Noun
کوړوی,Noun
کوو,Noun
کوټوال,Noun
کوږوالی,Noun
کښېښوول,Verb
کوړول,Verb
کوونکې,Noun
کوډي,Noun
کويټ,Noun
کوي,Verb
کوګير,Noun
کوينی,Noun
کويه,Noun
کيڼ,Adjective
کيچړی,Noun
کيږدۍ,Noun
کيدړه,Noun
کيسۍ,Noun
کښېيستل,Verb
کيسر,Noun
کيسه,Noun
کيسه بر,Noun
کيسه بري,Noun
کړيسي,Noun
کيش,Adverb
کيشپ,Noun
کيشکارل,Verb
کيف,Noun
کيفي,Adjective
کيفيت,Noun
کيکر,Noun
کړيکه,Noun
کيکه,Noun
ښکيل,Adjective
کيڼ لاس ته تاو شه,Sentence
کيله,Noun
کيلو,Noun
کيلوګرام,Noun
کيلومتر,Noun
کيليوالي,Adjective
کيندل,Verb
څکيندن,Noun
کينه,Noun
کينه کښ,Adjective
کينو,Noun
کيوبا,Noun
کيوبايي,Adjective
ځېلی,Adjective
لټ,Adjective
ځلې,Adverb
ټېل,Noun
ځېلۍ,Noun
ټل,Noun
څلی,Noun
ګلګی,Noun
ل,Noun
لټ,Noun
لړۍ,Noun
څېړل,Verb
څټل,Verb
لا,Adverb
ځلا,Noun
لاټ,Noun
لاړې,Noun
لااقل,Adverb
ګلاب,Noun
ګلابتون,Noun
لابراتوار,Noun
لابوړې,Noun
ګلابي,Adjective
ګلاپ,Noun
لاپې,Noun
لاپک,Adjective
لاپوک,Adjective
لاتري,Noun
لاته وړم کال,Adverb
لاتين,Noun
لاتيني,Adjective
لاجبر,Noun
لاجورد,Noun
لاجوردي,Adjective
لاچي,Noun
لاحقه,Noun
لادرکه,Adjective
لار,Noun
لارۍ,Noun
لاربه,Noun
لاره,Noun
لاروی,Noun
لارښود,Noun
لارښودنه,Noun
لاروهل,Verb
لاروهنه,Noun
لاروهونی,Noun
لاروهونکی,Noun
لاروونی,Noun
لارښوونکی,Noun
لاريز,Adjective
لاري لاري,Adjective
لاريون,Noun
لاېزال,Adjective
لازم,Adjective
لازمي,Adjective
ګلاس,Noun
لاس,Noun
لاس اچول,Verb
لاس اخيستل,Verb
لاس پريولل,Verb
لاس پوري کول,Verb
لاستی,Noun
لاس تنګی,Adjective
لاس ته راوستل,Verb
لاستى,Noun
لاس کوڅی,Noun
لاسليک,Noun
لاس ماغو,Noun
لاس نيوی,Noun
لاس نيول,Verb
لاس ورکول,Verb
لاس ولونی,Noun
لاس وندی,Noun
لاس وهنه,Noun
لاسوهنه,Noun
لاشه,Noun
لاغو,Noun
لایق,Verb
لړاک,Adjective
لاک,Noun
لاکن,Adverb
ګلالی,Adjective
څلاڅل,Noun
لال,Noun
لالی,Noun
لالا,Noun
لالک,Noun
لالهانده,Adjective
لام,Noun
لاما,Noun
لامبات,Noun
لامبل,Verb
لامبو,Noun
لامبوزن,Noun
لامده,Adjective
لامذهبه,Adjective
لامسه,Noun
لام کلام,Noun
لامل,Noun
لامله,Noun
لاړن,Adjective
لاډنګ,Adjective
لانجه,Noun
لانجه کول,Verb
لانجه مار,Noun
ځلاند,Adjective
لانډو,Noun
لاهم,Adverb
لاهه,Noun
لاهو,Adjective
لاهوت,Noun
لاهور,Noun
لاړو,Adjective
لاټو,Noun
لاوا,Noun
لاوڼر,Noun
لاوس,Noun
لاډونی,Noun
لړاوو,Adjective
لڅاوو,Noun
لاوږيز,Noun
لاړي,Noun
لايبريا,Noun
لايتناهي,Adjective
لاړيجن,Adjective
لايحه,Noun
لاډيز,Adjective
لايق,Adjective
لاټين,Noun
لاينحل,Adjective
لايه,Noun
لايۀ,Adjective
لب,Adjective
لباس,Noun
لباسي,Adjective
لبډر,Adjective
ګلبرګ,Noun
لبغړی,Adjective
لړبکه,Noun
لبلبو,Noun
لبنان,Noun
لبنيات,Noun
لبوزی,Noun
لڅ پڅ,Adjective
لټ پټ,Noun
لېپړی,Noun
لپړ,Noun
لپړی,Noun
لپاره,ProNoun
لپاڼکی,Noun
لپانډی,Noun
لټپېر,Noun
لپز,Noun
لپکی,Noun
لپه,Noun
لپړو,Adjective
لپوس,Adjective
ګلپي,Noun
ځلښت,Noun
لګښت,Noun
لښتی,Noun
لتاړ,Adjective
لتاړېدل,Verb
لتاړول,Verb
لېت پېت,Adjective
لت پت,Adjective
لږترلږه,Adverb
لښته,Noun
لته,Noun
لڅتوب,Noun
لږ تور مرچ واخلم,Sentence
لڅتيا,Noun
لج,Noun
لېړجن,Noun
لېچ,Noun
لچ,Noun
لچر,Adjective
لچري,Noun
لچک,Noun
لچلن,Adjective
لېچن,Noun
لېچه,Noun
لچه,Noun
ګلچين,Noun
لحاظ,Noun
لحظه,Noun
لحن,Noun
ګلخانه,Noun
لخک,Noun
لېږد,Noun
لدړ,Noun
ګلداره,Adjective
ګلدانۍ,Noun
ګلدسته,Noun
ګېلېدل,Verb
لړځېدل,Verb
لټېدل,Verb
لدړه,Noun
لیدو,Verb
ګلدوزي,Noun
لېږدول,Verb
لېږديدل,Verb
لذت,Noun
لډر,Adjective
لر,Adjective
لرې,Adjective
ټېلر,Noun
لټرۍ,Noun
لېرګۍ,Noun
لری,Noun
لرګی,Noun
لربر,Adjective
لېربه,Noun
لرګبه,Noun
لېربون,Noun
لرغن,Adjective
لرغون,Adjective
لرغونی,Adjective
لرغږون,Noun
لرغون پېژندنه,Noun
لرغون پېژندونکی,Noun
لرغونتوب,Noun
لرغوني,Adjective
لرغونئ,Adjective
لرل,Verb
څلرم,Numerical
څلرمه خور,Noun
لټېره,Adjective
لړره,Noun
لره,ProNoun
لرونکی,Noun
لرونه,Noun
لرګي,Noun
لرګين,Adjective
لړز,Noun
لړزاند,Adjective
لړزېدل,Verb
لږ زره,Adverb
لړزنده,Adjective
لړزه,Noun
لړزول,Verb
لزوم,Adverb
لژند,Adjective
لسی,Noun
لس,Numerical
لسان,Noun
لست,Noun
لستوڼی,Noun
ګلسرين,Noun
لسېزه,Noun
لسم,Numerical
لېسه,Noun
لسګون,Noun
لسيزه,Noun
لېشتيا,Noun
لشکرځای,Noun
لشکه,Noun
لشماتي,Adjective
لېشه,Adjective
لشه,Noun
لېشه کېدل,Verb
لېشه کول,Verb
لطف,Noun
لطيفه,Noun
لعړ,Adjective
لعاب,Noun
لعان,Noun
لعل,Noun
لعنت,Noun
لعين,Adjective
لغړ,Adjective
لغات,Noun
لغت,Noun
لغښتل,Verb
لغته,Noun
لغړتوب,Noun
لغړتيا,Noun
لغړېدل,Verb
لغم,Noun
لغمان,Noun
لغړندوکی,Adjective
لغو کول,Verb
لغړول,Verb
لغوړن,Adjective
لغونی,Noun
لغوړنېدل,Verb
لغوه,Adjective
لغوړونول,Verb
ګلف,Noun
لفټ,Noun
لفاظي,Noun
لفافه,Noun
لفظ,Noun
لفظي,Adjective
لقب,Noun
لک,Adjective
ځلک,Noun
لښکی,Noun
لکۍ,Noun
لک,Numerical
لښکر,Noun
لښکرکوټ,Noun
لکنت,Noun
لټکه,Noun
لکړه,Noun
لکه,Noun
لکه,Particle
لکه چې,Preposition
لک وبوک,Adjective
ګل کول,Verb
لکول,Verb
لل,Adjective
ګلګل,Noun
لګ لګ,Noun
لل,Noun
لېږل,Verb
لټل,Verb
لل,Verb
لیلا,Noun
ګل ګلاپ,Noun
لڅ لپړ,Adjective
لڅ لغړ,Adjective
لل ګل,Adjective
للمه,Noun
للمي,Adjective
لېله,Noun
للو,Noun
للون,Noun
للونول,Verb
ځلمی,Noun
لړم,Noun
لړمۍ,Noun
لم,Noun
لمړ,Noun
لمڅی,Noun
لماست,Adjective
ګلماله,Noun
لمانځل,Verb
لمانځنه,Noun
لمبېدل,Verb
لمبر,Noun
لمړی بریدمن,Noun
لمبل,Verb
لمبه,Noun
لمبو,Noun
لمبول,Verb
لمپاری,Adjective
لمچړ,Adjective
ګل مېخۍ,Noun
لمدبل,Noun
لمدول,Verb
لمديدل,Verb
لمر,Noun
لمرټګ,Noun
لمرپرېواته,Noun
لمرتندره,Noun
لمرخاته,Noun
لمرختيځ,Adjective
لمرڅرک,Noun
لمرڅريکه,Noun
لمرګلی,Noun
لمرلوېدل,Verb
لمرلوېده,Noun
لمرلوېديځ,Noun
لمرنی,Adjective
لمريز,Adjective
لمريزه/نوريزه  تخته,Noun
لمسی,Noun
لمېسل,Verb
لمسه,Noun
لمسول,Verb
لمسون,Noun
لمغړی,Adjective
لمټک,Adjective
لږ مې کوټه پاکه کئ,Sentence
لمن,Noun
لمنځه,Noun
لمنه,Noun
څېلمه,Noun
لېمه,Noun
لږ مې هلته بوځئ,Sentence
لېمو,Noun
لړمون,Noun
لمونځ,Noun
لمونخ,Noun
لېږمي,Noun
ځلميتوب,Noun
لټنډ,Adjective
لنډ,Adjective
لنډی,Adjective
ډګلن,Noun
لګن,Noun
لنګ,Noun
لنډۍ,Noun
لنډاک,Adjective
لنډبزری,Noun
لنډپاری,Adjective
لنګتون,Noun
لندبل,Noun
لندېدل,Verb
لنګېدل,Verb
لندول,Verb
لنګر,Noun
لنډغر,Adjective
لنډکی,Adjective
لنډګنډ,Adverb
لنګه,Noun
لنډهر,Adjective
لنډه کاز,Noun
لنګوټی,Noun
لنډوالی,Noun
لنډور,Adjective
لنګور,Noun
لنډول,Verb
لنډون,Noun
لنګوټه,Noun
لنډيز,Noun
له,Adjective
څله,Adverb
لږڅه,Adverb
ګډېله,Noun
ټېله,Noun
څلګه,Noun
څله,Noun
لېڅه,Noun
لټه,Noun
لهجه,Noun
له…څخه,Particle
له دې ځاى نه لرې دى,Sentence
لګه درګه,Noun
له دې کبله,Adverb
له دې لامله,Adverb
ږله ګرکی,Noun
له ستورو ډك,Adjective
له سره,Adjective
له سره,Adverb
له سره,Particle
له قانون پوه سره غږېدل غواړم,Sentence
له کرکې ډک,Adjective
له کومه,Adverb
له محورڅخه ليرى,Adjective
له مخی,Adverb
څله مست,Noun
له منځه وړل,Verb
له منځه وړنه,Noun
له ښه مرغه,Adverb
له واره,Adverb
له واريه,Adverb
له يوه مخه,Adverb
ډله ييز,Adjective
لو,Adjective
لوڅ,Adjective
لډو,Noun
لېوړۍ,Noun
لو,Noun
لوټ,Noun
لوښی,Noun
لواړ,Adjective
لوا,Noun
لوات,Adjective
لواتېدل,Verb
ګلواره,Noun
لوازم,Noun
لېوال,Adjective
لڅوالی,Noun
لوايي,Noun
لوباتل,Verb
لوبڅار,Noun
لوبغاړی,Noun
لوبغالی,Noun
لوبه,Noun
لوبول,Verb
لوبيا,Noun
لوپ,Noun
لوپټه,Noun
لوپه,Noun
لوپه لوپه,Adjective
لوڅې پوڅې,Noun
لوت,Adjective
لوېښت,Noun
لوښتی,Noun
لوتبه,Noun
لوړتيا,Noun
لوچی,Noun
لوچک,Adjective
لوچک,Noun
لوحه,Noun
لوخبره,Noun
لوخړه,Noun
لوخه,Noun
لوخړول,Verb
لودانه,Noun
لودره,Noun
لوېدلی,Adjective
لوټېدل,Verb
لوېدل,Verb
لودل,Verb
